a (news) story breaks,появляется (новостная) история
news comes in,поступают новости
news leaks out,утечка новостей
hit the headlines,попасть в заголовки
make headlines,попасть на первые полосы
front-page headline,заголовок на первой полосе
the latest news,последние новости
be headline/front-page news,быть новостью первой полосы
item of news,новость
run a story (publish a story),опубликовать материал
flick through the newspaper,бегло просмотреть газету
give the go-ahead,дать зелёный свет
turn of events,ход событий
interested parties hold talks,заинтересованные стороны проводят переговоры
outlined plans,обозначенные планы
launch the campaign,запустить кампанию
taken captive,взятый в плен
taken hostage,взятый в заложники
seized control,захватить контроль
lost control of,потерять контроль над
keeping a close watch on,внимательно следить за
keeping you informed,держать вас в курсе
as news develops,по мере поступления новостей
top job,высокая должность
attracted attention,привлёк внимание
controversial decision,спорное решение
peace talks,мирные переговоры
peace talks broke down,мирные переговоры сорвались
caught fire,загорелся
struck by lightning,поражён молнией
no loss of life,без человеческих жертв
