activity,деятельность
aspect,аспект
attitude,отношение
(achieve) a balance,достигать баланса
competition,соревнование/конкуренция
creativity,креативность
daily routine/chores,ежедневный распорядок
run errunds,бегать по делам
desire,желание
disappointment,разочарование
experience,опыт
fulfillment,удовлетворение
goal,цель
hobby,хобби
insight,понимание
leisure,досуг
lifestyle,образ жизни
optimist,оптимист
outlook,взгляд на жизнь
opportunity,возможность
personality,характер
pessimist,пессимист
priority,приоритет
pressure,давление
realist,реалист
risk-taker,"человек, идущий на риск"
self-expression,самовыражение
sense,чувство
active,активный
bored,скучающий
confused,сбитый с толку
dissatisfied,неудовлетворённый
intense,напряжённый
materialistic,материалистичный
negative,негативный
outdoor,на свежем воздухе
positive,позитивный
recreational,восстановительный
successful,успешный
achieve (a goal),достигать (цели)
appeal smb, привлевать кого-то
attract,привлекать
choose,выбирать
express,выражать
enjoy,наслаждаться
fulfil,осуществлять
improve,улучшать
motivate,мотивировать
participate,участвовать
regret,сожалеть
relax,расслабляться
satisfy,удовлетворять
lead a happy life,вести счастливую жизнь
live life on the edge,жить на грани
live life to the full,жить полной жизнью
make a choice,сделать выбор
make a decision,принять решение
make a living,зарабатывать на жизнь
meet a need,удовлетворять потребность
miss (an opportunity),упустить (возможность)
play a role,играть роль
put pressure on,оказывать давление
set (a goal),ставить (цель)
take part (in),принимать участие (в)
work hard for a living,тяжело работать ради заработка
he doesn't make a shit,нихрена не зарабатывает
all walks of life,все слои общества
cost of living,стоимость жизни
lifelong ambition,мечта всей жизни
living expenses,расходы на жизнь
once in a lifetime opportunity,уникальная возможность
standard of living,уровень жизни
way of life,образ жизни
